"list_name","name","label"
"region","vinnytska","Вінницька"
"region","lvivska","Львівська"
"region","mykolaivska","Миколаївська"
"region","volynska","Волинська"
"region","dnipropetrovska","Дніпропетровська"
"region","donetska","Донецька"
"region","zhytomyrska","Житомирська"
"region","rivnenska","Рівненська"
"region","kyiv","Київ"
"region","sumska","Сумська"
"region","ternopilska","Тернопільська"
"region","kharkivska","Харківська"
"region","khmelnytska","Хмельницька"
"region","cherkaska","Черкаська"
"region","chernivetska","Чернівецька"
"region","chernihivska","Чернігівська"
"region","sevastopol","Севастополь"
"region","zakarpatska","Закарпатська"
"region","zaporizka","Запорізька"
"region","ivano-frankivska","Івано-Франківська"
"region","kyivska","Київська"
"region","kirovohradska","Кіровоградська"
"region","luhanska","Луганська"
"region","odeska","Одеська"
"region","poltavska","Полтавська"
"region","khersonska","Херсонська"
"region","avtonomna respublika krym","Автономна Республіка Крим"
